date,keyword,trend_score_avg_7d
2026-08-01,skin barrier,3.9
2026-08-01,milky toner,1.8
2026-08-01,glass skin,2.7
2026-08-01,pdrn,10.0
2026-08-01,collagen,60.8
2026-08-01,korean sunscreen,14.4
2026-08-01,sleeping mask,19.1
2026-08-01,oil cleanser,35.6
2026-08-01,double cleansing,0.4
2026-08-01,hypochlorous acid,56.5
2026-08-02,skin barrier,3.9
2026-08-02,milky toner,1.7
2026-08-02,glass skin,2.6
2026-08-02,pdrn,9.9
2026-08-02,collagen,59.0
2026-08-02,korean sunscreen,15.1
2026-08-02,sleeping mask,19.7
2026-08-02,oil cleanser,36.5
2026-08-02,double cleansing,0.6
2026-08-02,hypochlorous acid,60.8
2026-08-02,snail mucin,7.0
2026-08-02,centella,25.8
2026-08-02,niacinamide,58.3
2026-08-02,ceramide,11.9
2026-08-07,skin barrier,4.5
2026-08-07,milky toner,2.1
2026-08-07,glass skin,3.0
2026-08-07,pdrn,11.2
2026-08-07,collagen,65.3
2026-08-07,korean sunscreen,16.9
2026-08-07,sleeping mask,19.4
2026-08-07,oil cleanser,31.7
2026-08-07,double cleansing,1.0
2026-08-07,hypochlorous acid,58.3
2026-08-07,snail mucin,4.4
2026-08-07,centella,20.1
2026-08-07,niacinamide,42.1
2026-08-07,ceramide,8.4
2026-08-08,skin barrier,4.6
2026-08-08,milky toner,2.1
2026-08-08,glass skin,3.0
2026-08-08,pdrn,11.4
2026-08-08,collagen,65.8
2026-08-08,korean sunscreen,18.3
2026-08-08,sleeping mask,20.4
2026-08-08,oil cleanser,34.3
2026-08-08,double cleansing,0.6
2026-08-08,hypochlorous acid,62.8
2026-08-08,snail mucin,4.6
2026-08-08,centella,20.3
2026-08-08,niacinamide,40.7
2026-08-08,ceramide,8.0
2026-08-09,skin barrier,4.9
2026-08-09,milky toner,2.2
2026-08-09,glass skin,3.1
2026-08-09,pdrn,11.9
2026-08-09,collagen,71.2
2026-08-09,korean sunscreen,16.2
2026-08-09,sleeping mask,19.7
2026-08-09,oil cleanser,33.1
2026-08-09,double cleansing,0.4
2026-08-09,hypochlorous acid,60.4
2026-08-09,snail mucin,5.0
2026-08-09,centella,24.1
2026-08-09,niacinamide,46.6
2026-08-09,ceramide,9.5
2026-08-10,skin barrier,4.3
2026-08-10,milky toner,2.0
2026-08-10,glass skin,2.8
2026-08-10,pdrn,10.7
2026-08-10,collagen,64.0
2026-08-10,korean sunscreen,15.9
2026-08-10,sleeping mask,19.4
2026-08-10,oil cleanser,32.2
2026-08-10,double cleansing,0.5
2026-08-10,hypochlorous acid,60.2
2026-08-10,snail mucin,5.4
2026-08-10,centella,24.3
2026-08-10,niacinamide,46.6
2026-08-10,ceramide,9.5
2026-08-13,skin barrier,4.2
2026-08-13,milky toner,2.0
2026-08-13,glass skin,2.9
2026-08-13,pdrn,10.8
2026-08-13,collagen,64.0
2026-08-13,korean sunscreen,14.3
2026-08-13,sleeping mask,18.8
2026-08-13,oil cleanser,30.0
2026-08-13,double cleansing,0.7
2026-08-13,hypochlorous acid,59.7
2026-08-13,snail mucin,6.9
2026-08-13,centella,30.5
2026-08-13,niacinamide,57.0
2026-08-13,ceramide,11.5
2026-08-14,skin barrier,4.4
2026-08-14,milky toner,1.9
2026-08-14,glass skin,3.0
2026-08-14,pdrn,11.0
2026-08-14,collagen,65.2
2026-08-14,korean sunscreen,13.9
2026-08-14,sleeping mask,18.6
2026-08-14,oil cleanser,31.4
2026-08-14,double cleansing,0.6
2026-08-14,hypochlorous acid,62.1
2026-08-14,snail mucin,7.3
2026-08-14,centella,31.9
2026-08-14,niacinamide,60.7
2026-08-14,ceramide,12.8
2026-08-15,skin barrier,4.3
2026-08-15,milky toner,2.0
2026-08-15,glass skin,3.0
2026-08-15,pdrn,11.0
2026-08-15,collagen,65.6
2026-08-15,korean sunscreen,13.7
2026-08-15,sleeping mask,19.9
2026-08-15,oil cleanser,31.6
2026-08-15,double cleansing,0.5
2026-08-15,hypochlorous acid,64.1
2026-08-15,snail mucin,7.2
2026-08-15,centella,29.9
2026-08-15,niacinamide,59.9
2026-08-15,ceramide,13.3
2026-08-16,skin barrier,4.2
2026-08-16,milky toner,1.9
2026-08-16,glass skin,2.8
2026-08-16,pdrn,10.4
2026-08-16,collagen,63.1
2026-08-16,korean sunscreen,13.2
2026-08-16,sleeping mask,19.1
2026-08-16,oil cleanser,29.4
2026-08-16,double cleansing,0.7
2026-08-16,hypochlorous acid,60.5
2026-08-16,snail mucin,7.2
2026-08-16,centella,28.9
2026-08-16,niacinamide,60.0
2026-08-16,ceramide,13.8
2026-08-17,skin barrier,4.3
2026-08-17,milky toner,1.9
2026-08-17,glass skin,2.9
2026-08-17,pdrn,10.4
2026-08-17,collagen,63.8
2026-08-17,korean sunscreen,13.4
2026-08-17,sleeping mask,19.8
2026-08-17,oil cleanser,31.1
2026-08-17,double cleansing,0.6
2026-08-17,hypochlorous acid,64.2
2026-08-17,snail mucin,7.2
2026-08-17,centella,28.2
2026-08-17,niacinamide,59.9
2026-08-17,ceramide,13.3
